p,n,m,time
8,10000000,20000000,0.012413
8,10000000,20000000,0.007913
8,10000000,20000000,0.007872
8,10000000,20000000,0.007894
8,10000000,20000000,0.007889
8,10000000,20000000,0.007887
8,10000000,20000000,0.007862
8,10000000,20000000,0.007907
8,10000000,20000000,0.007898
8,10000000,20000000,0.007903
