rep,n,p,t
0,12000,1,0.286791
1,12000,1,0.644998
2,12000,1,0.352989
3,12000,1,0.383394
4,12000,1,0.553544
5,12000,1,0.346733
6,12000,1,0.286429
7,12000,1,0.436121
8,12000,1,0.431217
9,12000,1,0.407081
10,12000,1,0.290513
11,12000,1,0.286420
12,12000,1,0.384511
13,12000,1,0.384168
14,12000,1,0.382265
15,12000,1,0.383910
16,12000,1,0.313739
17,12000,1,0.283771
18,12000,1,0.342504
19,12000,1,0.328432
