rep,n,p,t
0,600,256,0.007676
1,600,256,0.000115
2,600,256,0.000066
3,600,256,0.000070
4,600,256,0.000070
5,600,256,0.000070
6,600,256,0.000070
7,600,256,0.000062
8,600,256,0.000080
9,600,256,0.000077
10,600,256,0.000087
11,600,256,0.000082
12,600,256,0.000064
13,600,256,0.000066
14,600,256,0.000064
15,600,256,0.000064
16,600,256,0.000065
17,600,256,0.000062
18,600,256,0.000068
19,600,256,0.000068
