p,n,m,time
8,100000000,200000000,3.965188
8,100000000,200000000,3.947645
8,100000000,200000000,3.893028
8,100000000,200000000,3.895605
8,100000000,200000000,3.902070
8,100000000,200000000,3.895654
8,100000000,200000000,3.900454
8,100000000,200000000,3.891413
8,100000000,200000000,3.897224
8,100000000,200000000,3.890160
