rep,n,p,t
0,600,1,0.000686
1,600,1,0.000684
2,600,1,0.000676
3,600,1,0.000679
4,600,1,0.000676
5,600,1,0.000676
6,600,1,0.000679
7,600,1,0.000681
8,600,1,0.000678
9,600,1,0.000679
10,600,1,0.000677
11,600,1,0.000676
12,600,1,0.000676
13,600,1,0.000681
14,600,1,0.000679
15,600,1,0.000677
16,600,1,0.000676
17,600,1,0.000676
18,600,1,0.000681
19,600,1,0.000678
