p,n,m,time
2,100000000,200000000,0.432555
2,100000000,200000000,0.296322
2,100000000,200000000,0.308998
2,100000000,200000000,0.298302
2,100000000,200000000,0.281058
2,100000000,200000000,0.304416
2,100000000,200000000,0.339882
2,100000000,200000000,0.322099
2,100000000,200000000,0.364530
2,100000000,200000000,0.325716
