rep,n,p,t
0,12000,8,0.035809
1,12000,8,0.035661
2,12000,8,0.035596
3,12000,8,0.035577
4,12000,8,0.035579
5,12000,8,0.035564
6,12000,8,0.035562
7,12000,8,0.035596
8,12000,8,0.035576
9,12000,8,0.035573
10,12000,8,0.035582
11,12000,8,0.035589
12,12000,8,0.035572
13,12000,8,0.035579
14,12000,8,0.035586
15,12000,8,0.035576
16,12000,8,0.035568
17,12000,8,0.035582
18,12000,8,0.035592
19,12000,8,0.035573
