rep,n,p,t
0,600,1,0.000697
1,600,1,0.000679
2,600,1,0.000677
3,600,1,0.000680
4,600,1,0.000678
5,600,1,0.000683
6,600,1,0.000679
7,600,1,0.000677
8,600,1,0.000679
9,600,1,0.000680
10,600,1,0.000676
11,600,1,0.000682
12,600,1,0.000676
13,600,1,0.000677
14,600,1,0.000679
15,600,1,0.000677
16,600,1,0.000677
17,600,1,0.000682
18,600,1,0.000677
19,600,1,0.000679
