p,n,m,time
4,100000000,200000000,0.216450
4,100000000,200000000,0.161732
4,100000000,200000000,0.151805
4,100000000,200000000,0.149370
4,100000000,200000000,0.156157
4,100000000,200000000,0.162357
4,100000000,200000000,0.188225
4,100000000,200000000,0.213658
4,100000000,200000000,0.166429
4,100000000,200000000,0.173986
