rep,n,p,t
0,1200,128,0.011987
1,1200,128,0.000263
2,1200,128,0.000252
3,1200,128,0.000261
4,1200,128,0.000220
5,1200,128,0.000225
6,1200,128,0.000233
7,1200,128,0.000233
8,1200,128,0.000232
9,1200,128,0.000234
10,1200,128,0.000244
11,1200,128,0.000235
12,1200,128,0.000231
13,1200,128,0.000242
14,1200,128,0.000251
15,1200,128,0.000222
16,1200,128,0.000231
17,1200,128,0.000226
18,1200,128,0.000224
19,1200,128,0.000220
