rep,n,p,t
0,12000,1,0.285886
1,12000,1,0.633669
2,12000,1,0.361548
3,12000,1,0.371184
4,12000,1,0.549477
5,12000,1,0.360097
6,12000,1,0.285787
7,12000,1,0.417680
8,12000,1,0.447629
9,12000,1,0.385764
10,12000,1,0.310662
11,12000,1,0.285830
12,12000,1,0.383749
13,12000,1,0.383428
14,12000,1,0.381535
15,12000,1,0.383185
16,12000,1,0.313023
17,12000,1,0.283369
18,12000,1,0.313530
19,12000,1,0.355825
