rep,n,p,t
0,300,128,0.011498
1,300,128,0.000216
2,300,128,0.000188
3,300,128,0.000217
4,300,128,0.000190
5,300,128,0.000192
6,300,128,0.000198
7,300,128,0.000194
8,300,128,0.000192
9,300,128,0.000186
10,300,128,0.000197
11,300,128,0.000191
12,300,128,0.000187
13,300,128,0.000191
14,300,128,0.000218
15,300,128,0.000226
16,300,128,0.000197
17,300,128,0.000191
18,300,128,0.000189
19,300,128,0.000189
