rep,n,p,t
0,300,1,0.000170
1,300,1,0.000168
2,300,1,0.000164
3,300,1,0.000167
4,300,1,0.000168
5,300,1,0.000164
6,300,1,0.000167
7,300,1,0.000164
8,300,1,0.000167
9,300,1,0.000164
10,300,1,0.000167
11,300,1,0.000167
12,300,1,0.000164
13,300,1,0.000167
14,300,1,0.000164
15,300,1,0.000167
16,300,1,0.000167
17,300,1,0.000170
18,300,1,0.000167
19,300,1,0.000164
