p,n,m,time
1,10000000,20000000,0.093151
1,10000000,20000000,0.053548
1,10000000,20000000,0.053535
1,10000000,20000000,0.053499
1,10000000,20000000,0.053514
1,10000000,20000000,0.053522
1,10000000,20000000,0.053543
1,10000000,20000000,0.053520
1,10000000,20000000,0.053462
1,10000000,20000000,0.053562
