p,n,m,time
16,100000000,200000000,0.086987
16,100000000,200000000,0.080741
16,100000000,200000000,0.081530
16,100000000,200000000,0.075768
16,100000000,200000000,0.075174
16,100000000,200000000,0.098546
16,100000000,200000000,0.090026
16,100000000,200000000,0.091489
16,100000000,200000000,0.086632
16,100000000,200000000,0.085213
