rep,n,p,t
0,600,1,0.000687
1,600,1,0.000681
2,600,1,0.000675
3,600,1,0.000675
4,600,1,0.000675
5,600,1,0.000675
6,600,1,0.000675
7,600,1,0.000680
8,600,1,0.000675
9,600,1,0.000675
10,600,1,0.000675
11,600,1,0.000675
12,600,1,0.000680
13,600,1,0.000675
14,600,1,0.000675
15,600,1,0.000675
16,600,1,0.000675
17,600,1,0.000675
18,600,1,0.000680
19,600,1,0.000675
