p,n,m,time
32,10000000,20000000,0.103329
32,10000000,20000000,0.102952
32,10000000,20000000,0.103064
32,10000000,20000000,0.102369
32,10000000,20000000,0.103035
32,10000000,20000000,0.103074
32,10000000,20000000,0.103330
32,10000000,20000000,0.102842
32,10000000,20000000,0.102541
32,10000000,20000000,0.102341
