rep,n,p,t
0,12000,1,0.284654
1,12000,1,0.526101
2,12000,1,0.466791
3,12000,1,0.296707
4,12000,1,0.528014
5,12000,1,0.452989
6,12000,1,0.284802
7,12000,1,0.382420
8,12000,1,0.423007
9,12000,1,0.440122
10,12000,1,0.312450
11,12000,1,0.284858
12,12000,1,0.380618
13,12000,1,0.382541
14,12000,1,0.382488
15,12000,1,0.332849
16,12000,1,0.331905
17,12000,1,0.312616
18,12000,1,0.284981
19,12000,1,0.380907
