rep,n,p,t
0,12000,1,0.285806
1,12000,1,0.640450
2,12000,1,0.356397
3,12000,1,0.376357
4,12000,1,0.553053
5,12000,1,0.352854
6,12000,1,0.285587
7,12000,1,0.426238
8,12000,1,0.440467
9,12000,1,0.394388
10,12000,1,0.301588
11,12000,1,0.285599
12,12000,1,0.384168
13,12000,1,0.383925
14,12000,1,0.381898
15,12000,1,0.383281
16,12000,1,0.312847
17,12000,1,0.283160
18,12000,1,0.322848
19,12000,1,0.346874
