p,n,m,time
8,100000000,200000000,0.116277
8,100000000,200000000,0.094164
8,100000000,200000000,0.087238
8,100000000,200000000,0.089744
8,100000000,200000000,0.089757
8,100000000,200000000,0.096018
8,100000000,200000000,0.102065
8,100000000,200000000,0.094028
8,100000000,200000000,0.090113
8,100000000,200000000,0.102098
